training/fb_actor/actor_loss,training/fb_actor/mse,training/fb_actor/q_abs_mean,training/fb_actor/q_loss,training/fb_actor/q_mean,training/fb_actor/std,training/fb_repr/B,training/fb_repr/B_norm,training/fb_repr/F1,training/fb_repr/M1,training/fb_repr/fb_diag,training/fb_repr/fb_loss,training/fb_repr/fb_offdiag,training/fb_repr/orth_loss,training/fb_repr/orth_loss_diag,training/fb_repr/orth_loss_offdiag,training/fb_repr/target_M,training/grad/max,training/grad/min,training/grad/norm,validation/fb_actor/actor_loss,validation/fb_actor/mse,validation/fb_actor/q_abs_mean,validation/fb_actor/q_loss,validation/fb_actor/q_mean,validation/fb_actor/std,validation/fb_repr/B,validation/fb_repr/B_norm,validation/fb_repr/F1,validation/fb_repr/M1,validation/fb_repr/fb_diag,validation/fb_repr/fb_loss,validation/fb_repr/fb_offdiag,validation/fb_repr/orth_loss,validation/fb_repr/orth_loss_diag,validation/fb_repr/orth_loss_offdiag,validation/fb_repr/target_M,time/epoch_time,time/total_time,step
-377.3678,117.82998,380.86395,-377.3678,377.3678,1.0,-0.0011497554,7.071068,0.6006745,51.076553,-1350.7102,-874.2795,521.2822,-44.85153,-99.999985,55.148457,51.323936,131.2756,-191.46655,7931.488,-360.6925,119.73751,363.16583,-360.6925,360.6925,1.0,-0.006201985,7.071068,0.58787143,48.47237,-1287.0743,-905.74384,421.7798,-40.44927,-100.00011,59.55084,48.521095,0.003447923421859741,223.30252385139465,55000
-400.7448,126.97008,403.49155,-400.7448,400.7448,1.0,-0.006286584,7.071068,0.57779473,48.427246,-1292.8567,-961.02747,374.87115,-43.0419,-100.00014,56.958237,48.807224,139.92047,-133.40228,7498.7427,-392.65237,129.80258,397.68842,-392.65237,392.65237,1.0,0.012587751,7.071068,0.39875782,54.144783,-1384.0061,-906.48834,516.04755,-38.52981,-100.00006,61.47025,54.612762,0.0034521624088287356,240.56334519386292,60000
-400.84485,120.86713,409.58905,-400.84485,400.84485,1.0,0.0068771886,7.071068,0.7159548,52.278423,-1391.7974,-1006.2417,428.62537,-43.0697,-99.99965,56.92995,52.4972,95.613365,-132.74713,7395.4053,-396.63666,127.81592,400.00986,-396.63666,396.63666,1.0,0.0037481904,7.071068,0.647071,47.988,-1422.1798,-959.7318,500.65378,-38.20582,-99.999954,61.794136,47.972477,0.0034460490226745607,257.7935996055603,65000
-403.38614,115.28894,405.65338,-403.38614,403.38614,1.0,-0.014285796,7.071068,0.32157183,48.155037,-1395.6987,-1040.6427,397.30487,-42.24884,-99.99962,57.75078,48.32905,107.742455,-147.5477,8772.357,-407.7959,117.77112,411.33588,-407.7959,407.7959,1.0,-0.0042090374,7.071068,0.39105552,50.892548,-1443.8225,-958.793,522.48206,-37.452576,-100.00029,62.547714,51.03513,0.0034522913455963134,275.05506563186646,70000
-432.9676,113.21155,434.17734,-432.9676,432.9676,1.0,-0.0061707506,7.071068,0.61439335,50.255653,-1441.4241,-1072.5697,411.8584,-43.003975,-99.99956,56.995583,50.48903,101.72894,-143.73276,9296.229,-410.14685,107.61438,418.53546,-410.14685,410.14685,1.0,0.016385052,7.071068,0.6824546,52.372944,-1467.0193,-929.1498,576.7996,-38.93012,-100.00043,61.07031,52.882935,0.0034420488834381105,292.2653193473816,75000
-418.47125,118.934654,424.88672,-418.47125,418.47125,1.0,0.0003715041,7.071068,0.45366117,46.423515,-1446.4437,-1100.6176,388.1538,-42.327606,-99.9997,57.672096,46.463097,141.98438,-97.89292,6737.058,-411.7262,118.3219,416.392,-411.7262,411.7262,1.0,0.014722059,7.071068,0.56352127,53.4329,-1487.5935,-964.09625,560.17065,-36.67342,-100.00012,63.326702,53.57322,0.003449069356918335,309.5106751918793,80000
-434.85165,115.56816,438.79333,-434.85165,434.85165,1.0,-0.002781655,7.071068,0.37556225,48.48893,-1507.3289,-1090.2549,459.60464,-42.530594,-99.99994,57.469345,48.213787,124.64127,-124.50351,8968.359,-422.1289,115.44353,424.65778,-422.1289,422.1289,1.0,0.00018717944,7.071068,0.6951952,52.199883,-1509.3073,-933.8901,611.60706,-36.189865,-99.99926,63.809395,52.401527,0.0034453914165496827,326.73764157295227,85000
-444.8273,120.225975,452.4741,-444.8273,444.8273,1.0,-0.013576486,7.071068,-0.023671884,49.360756,-1533.4299,-1114.0974,460.0254,-40.69291,-100.00002,59.307114,49.02893,116.18313,-144.1192,9669.969,-415.23572,114.14072,419.46368,-415.23572,415.23572,1.0,0.0036007115,7.071068,0.27420577,49.69113,-1527.0388,-937.6352,624.5821,-35.178482,-99.999985,64.8215,50.01043,0.003463816785812378,344.05673480033875,90000
-431.14465,125.203125,436.30893,-431.14465,431.14465,1.0,-0.00018634557,7.071068,0.18330345,50.03521,-1620.0713,-1193.8562,468.28488,-42.069874,-99.99962,57.929745,50.237244,147.1253,-172.77025,9514.265,-425.39624,113.77893,432.07657,-425.39624,425.39624,1.0,0.017970515,7.071068,1.0269269,54.087036,-1620.977,-961.36066,695.4845,-35.86808,-99.99995,64.13187,53.642796,0.0034486480712890627,361.2999846935272,95000
-416.42383,112.926575,429.0998,-416.42383,416.42383,1.0,0.00328297,7.071068,0.5063396,48.076984,-1573.5615,-1170.8293,445.1066,-42.374435,-100.00054,57.626106,48.2313,81.220955,-80.03117,8824.112,-395.5164,112.1748,401.15778,-395.5164,395.5164,1.0,0.004154293,7.071068,0.35049906,55.49759,-1500.1443,-924.60126,609.09485,-33.551796,-99.99948,66.447685,55.527893,0.0034494128704071047,378.54705834388733,100000
