training/fb_actor/actor_loss,training/fb_actor/bc_log_prob,training/fb_actor/bc_loss,training/fb_actor/mse,training/fb_actor/q_abs_mean,training/fb_actor/q_loss,training/fb_actor/q_mean,training/fb_actor/std,training/fb_repr/occ_measure_max,training/fb_repr/occ_measure_mean,training/fb_repr/occ_measure_min,training/fb_repr/ortho_diag_loss,training/fb_repr/ortho_loss,training/fb_repr/ortho_off_diag_loss,training/fb_repr/repr_diag_loss,training/fb_repr/repr_loss,training/fb_repr/repr_off_diag_loss,training/grad/max,training/grad/min,training/grad/norm,validation/fb_actor/actor_loss,validation/fb_actor/bc_log_prob,validation/fb_actor/bc_loss,validation/fb_actor/mse,validation/fb_actor/q_abs_mean,validation/fb_actor/q_loss,validation/fb_actor/q_mean,validation/fb_actor/std,validation/fb_repr/occ_measure_max,validation/fb_repr/occ_measure_mean,validation/fb_repr/occ_measure_min,validation/fb_repr/ortho_diag_loss,validation/fb_repr/ortho_loss,validation/fb_repr/ortho_off_diag_loss,validation/fb_repr/repr_diag_loss,validation/fb_repr/repr_loss,validation/fb_repr/repr_off_diag_loss,time/epoch_time,time/total_time,step
-57149.21,-10.485747,10.485747,1.6573722,57159.695,-57159.695,57159.695,1.0,81223.85,245.67657,-41457.824,-1023.9962,31.26942,1055.2656,-1651.23,49531.062,51383.03,12902.384,-12695.841,3274701.0,-56166.984,-10.537279,10.537279,1.6745496,56177.523,-56177.523,56177.523,1.0,81755.24,286.3,-40730.785,-1023.99603,76.53547,1100.5315,-1013.48303,49166.64,50376.902,0.004726437473297119,295.9167559146881,55000
-61013.99,-10.666307,10.666307,1.7175589,61024.656,-61024.656,61024.656,1.0,85973.44,247.26678,-41674.52,-1023.99316,107.07951,1131.0728,-567.59216,42723.72,43461.08,9641.107,-12307.317,2971485.5,-63289.098,-10.646967,10.646967,1.7111124,63299.746,-63299.746,63299.746,1.0,85226.83,395.45444,-46682.57,-1023.9969,194.3115,1218.3083,-862.72156,42972.12,44006.75,0.004702299976348877,319.42826533317566,60000
-66203.27,-10.821837,10.821837,1.7694019,66214.09,-66214.09,66214.09,1.0,91887.92,439.72256,-44956.844,-1023.9957,99.451706,1123.4475,-716.6417,36464.062,37326.53,17104.959,-14934.891,2833182.0,-66852.55,-11.046651,11.046651,1.8443401,66863.59,-66863.59,66863.59,1.0,92169.65,357.14252,-48963.074,-1023.9955,170.78302,1194.7786,-1507.2737,35392.113,37044.1,0.004852089166641235,343.6887204647064,65000
-68599.12,-10.447703,10.447703,1.6446908,68609.56,-68609.56,68609.56,1.0,96610.85,334.0052,-44516.17,-1023.99713,110.198586,1134.1958,-623.4918,52855.64,53688.85,13825.374,-14212.067,3661911.0,-68797.93,-10.617846,10.617846,1.7014049,68808.55,-68808.55,68808.55,1.0,97414.91,441.88507,-44553.215,-1023.9921,227.8892,1251.8813,-1295.1942,53030.3,54538.523,0.0047103967666625975,367.24071407318115,70000
-75128.95,-10.902759,10.902759,1.796376,75139.86,-75139.86,75139.86,1.0,106219.6,333.5,-57162.62,-1023.9948,208.02333,1232.0181,-1938.6973,49763.13,51904.59,16643.36,-16320.708,3664720.0,-72818.54,-10.726097,10.726097,1.7374891,72829.266,-72829.266,72829.266,1.0,109587.86,246.46695,-46371.805,-1023.9942,335.64813,1359.6423,-1985.4661,53225.797,55427.78,0.004724787187576294,390.8646593093872,75000
-75900.13,-10.476606,10.476606,1.6543252,75910.61,-75910.61,75910.61,1.0,105211.71,273.44867,-55748.375,-1024.0002,207.12552,1231.1256,-2232.1028,53014.434,55463.21,13774.762,-14379.299,3801364.2,-77022.79,-10.773111,10.773111,1.7531599,77033.56,-77033.56,77033.56,1.0,113814.48,399.1883,-48869.09,-1023.9949,220.47636,1244.4712,-1883.5471,56517.586,58630.156,0.0047144094944000245,414.43671584129333,80000
-79341.14,-10.548712,10.548712,1.6783603,79351.69,-79351.69,79351.69,1.0,114370.78,429.14697,-51326.31,-1023.9963,265.61633,1289.6125,-1513.6,56542.77,58284.03,17696.205,-17841.303,4192056.0,-80861.42,-10.764112,10.764112,1.7501605,80872.19,-80872.19,80872.19,1.0,111057.695,509.8907,-62908.508,-1023.9971,320.80692,1344.8038,-2819.0928,56431.508,59482.953,0.004724647998809815,438.0599648952484,85000
-82361.24,-10.321999,10.321999,1.6027889,82371.56,-82371.56,82371.56,1.0,124707.93,381.08972,-67142.85,-1023.9964,271.30646,1295.3029,-2684.458,50032.25,52923.445,20368.611,-19811.938,4162441.0,-84609.625,-10.5580845,10.5580845,1.6814845,84620.18,-84620.18,84620.18,1.0,118579.99,341.70456,-51208.176,-1023.99695,358.937,1382.934,158.21747,53145.125,53194.703,0.0047228350639343265,461.6741497516632,90000
-87831.34,-10.426563,10.426563,1.6376442,87841.77,-87841.77,87841.77,1.0,137640.8,405.90253,-60458.168,-1023.99,307.87653,1331.8666,-2432.4229,54196.15,56850.637,20472.46,-21284.195,4344110.0,-88198.86,-10.514252,10.514252,1.6668737,88209.375,-88209.375,88209.375,1.0,133238.67,524.542,-61569.29,-1023.99677,438.3031,1462.2998,-2701.837,51726.05,54641.348,0.004883605241775513,486.0921857357025,95000
-88941.445,-10.2830105,10.2830105,1.589793,88951.73,-88951.73,88951.73,1.0,125201.164,444.51697,-59461.03,-1023.9956,308.83286,1332.8284,-1479.926,51011.93,52697.707,18144.082,-21861.86,4350975.0,-87145.28,-10.40961,10.40961,1.631993,87155.69,-87155.69,87155.69,1.0,128888.33,464.75314,-57343.984,-1023.99805,411.06934,1435.0674,-1082.271,55800.305,57105.645,0.004825850820541382,510.22144889831543,100000
