training/fb_actor/actor_loss,training/fb_actor/bc_log_prob,training/fb_actor/bc_loss,training/fb_actor/mse,training/fb_actor/q_abs_mean,training/fb_actor/q_loss,training/fb_actor/q_mean,training/fb_actor/std,training/fb_repr/occ_measure_max,training/fb_repr/occ_measure_mean,training/fb_repr/occ_measure_min,training/fb_repr/ortho_diag_loss,training/fb_repr/ortho_loss,training/fb_repr/ortho_off_diag_loss,training/fb_repr/repr_diag_loss,training/fb_repr/repr_loss,training/fb_repr/repr_off_diag_loss,training/grad/max,training/grad/min,training/grad/norm,validation/fb_actor/actor_loss,validation/fb_actor/bc_log_prob,validation/fb_actor/bc_loss,validation/fb_actor/mse,validation/fb_actor/q_abs_mean,validation/fb_actor/q_loss,validation/fb_actor/q_mean,validation/fb_actor/std,validation/fb_repr/occ_measure_max,validation/fb_repr/occ_measure_mean,validation/fb_repr/occ_measure_min,validation/fb_repr/ortho_diag_loss,validation/fb_repr/ortho_loss,validation/fb_repr/ortho_off_diag_loss,validation/fb_repr/repr_diag_loss,validation/fb_repr/repr_loss,validation/fb_repr/repr_off_diag_loss,time/epoch_time,time/total_time,step
-125432.73,-10.415694,10.415694,1.634021,125443.14,-125443.14,125443.14,1.0,186267.7,821.7594,-101061.555,-1023.99677,1829.4725,2853.4692,-3753.8008,52938.29,56914.414,21053.574,-24257.432,4592812.5,-124189.37,-10.413112,10.413112,1.6331604,124199.78,-124199.78,124199.78,1.0,181770.42,635.64453,-109528.16,-1023.9928,1908.5236,2932.5166,-714.3342,58140.684,59085.82,0.0048411776542663576,1130.6743621826172,215000
-124736.21,-10.14192,10.14192,1.542763,124746.35,-124746.35,124746.35,1.0,160364.86,853.9012,-81425.414,-1023.993,1863.8364,2887.8293,-1866.5679,38757.9,40783.78,28970.984,-18163.66,3464591.5,-124170.35,-10.268412,10.268412,1.5849268,124180.62,-124180.62,124180.62,1.0,184831.27,821.3797,-87712.516,-1023.9961,2120.5454,3144.5415,-3321.1304,36079.914,39555.562,0.00486619963645935,1155.005369901657,220000
-125666.234,-10.012047,10.012047,1.4994719,125676.25,-125676.25,125676.25,1.0,156901.3,767.5602,-95106.766,-1023.99585,2058.3687,3082.3643,-1459.9772,45916.39,47562.164,25733.648,-36315.33,4961362.0,-127731.164,-10.317514,10.317514,1.6012945,127741.484,-127741.484,127741.484,1.0,162046.06,724.9437,-97091.99,-1023.9985,2180.1182,3204.1167,-1558.8025,45385.195,47128.1,0.004831795597076416,1179.164357662201,225000
-131234.36,-10.391193,10.391193,1.6258543,131244.75,-131244.75,131244.75,1.0,177073.17,927.4995,-96484.375,-1023.9977,2045.1486,3069.1465,-3419.3901,66908.445,70603.625,29571.016,-35078.125,5997161.5,-129526.664,-10.419786,10.419786,1.6353849,129537.086,-129537.086,129537.086,1.0,153281.47,701.38794,-92632.21,-1023.9945,2103.57,3127.5645,-4049.1023,62175.445,66484.266,0.0048829565525054935,1203.5791494846344,230000
-134866.05,-10.35174,10.35174,1.6127027,134876.4,-134876.4,134876.4,1.0,228194.12,788.10443,-117375.14,-1023.99194,2066.718,3090.71,-2869.4077,54719.27,57814.496,25373.074,-23577.129,4471790.0,-133133.42,-10.449112,10.449112,1.6451604,133143.88,-133143.88,133143.88,1.0,185704.16,615.74475,-103835.234,-1023.996,2358.3286,3382.3247,-2871.2876,54235.195,57330.445,0.004859829187393188,1227.8783049583435,235000
-135452.77,-10.3150015,10.3150015,1.600457,135463.08,-135463.08,135463.08,1.0,201643.12,740.275,-94497.664,-1023.99426,2287.799,3311.7932,-3260.0303,43737.758,47182.086,22593.02,-26431.97,4109900.0,-133344.44,-10.525694,10.525694,1.6706874,133354.97,-133354.97,133354.97,1.0,169813.19,775.1981,-88805.914,-1023.994,2339.6245,3363.6187,-1858.8582,45416.04,47460.29,0.004874775743484497,1252.2521932125092,240000
-139185.64,-10.669615,10.669615,1.7186611,139196.31,-139196.31,139196.31,1.0,190851.94,909.1072,-102063.08,-1023.9966,2159.953,3183.9495,-1862.8213,46131.4,48182.44,25106.139,-19212.895,4265394.0,-135293.6,-10.71562,10.71562,1.7339963,135304.31,-135304.31,135304.31,1.0,185041.73,962.0245,-95401.805,-1023.9979,2400.0173,3424.0151,-2279.1453,48753.023,51232.305,0.004847102022171021,1276.4877128601074,245000
-141135.12,-10.60664,10.60664,1.6976697,141145.73,-141145.73,141145.73,1.0,215638.62,754.3511,-92134.305,-1023.99805,2327.9043,3351.9023,-3058.8186,52996.58,56275.234,25897.715,-26703.879,4698247.0,-139852.86,-10.252026,10.252026,1.5794652,139863.11,-139863.11,139863.11,1.0,191198.7,957.9633,-86045.27,-1023.99396,2432.3687,3456.3623,-2581.6597,55084.984,57892.79,0.004894947862625122,1300.962461233139,250000
-142289.05,-10.38105,10.38105,1.6224728,142299.42,-142299.42,142299.42,1.0,174934.44,839.60736,-127925.65,-1023.9942,2307.3154,3331.3096,-1204.0564,59840.555,61284.023,26607.613,-26283.955,5181119.0,-144020.16,-10.592155,10.592155,1.6928419,144030.75,-144030.75,144030.75,1.0,185970.9,1194.9469,-119092.16,-1023.99774,2576.5508,3600.5483,-3585.1958,53290.953,57099.21,0.0048772432804107665,1325.3486869335175,255000
-143599.98,-10.295254,10.295254,1.593874,143610.28,-143610.28,143610.28,1.0,199539.55,972.9862,-123597.11,-1023.9951,2433.5527,3457.5479,-2205.4058,67324.78,69802.85,34219.01,-60530.945,7074622.0,-146386.03,-10.444045,10.444045,1.6434715,146396.47,-146396.47,146396.47,1.0,196789.34,875.97455,-119275.52,-1023.9944,2574.0688,3598.0632,-4173.107,57673.73,62089.383,0.0048970902919769285,1349.8341481685638,260000
-151404.75,-10.543507,10.543507,1.6766256,151415.3,-151415.3,151415.3,1.0,189980.98,1109.5764,-136890.17,-1023.996,2456.1243,3480.12,-3181.9312,67794.24,71254.516,33351.367,-41778.97,6236309.0,-148095.88,-10.6979065,10.6979065,1.7280921,148106.58,-148106.58,148106.58,1.0,194868.6,1409.702,-100136.41,-1023.99725,2678.0596,3702.0571,-2124.0337,62309.258,64685.97,0.004901965045928955,1374.3439826965332,265000
-153594.8,-10.325269,10.325269,1.6038793,153605.12,-153605.12,153605.12,1.0,192813.8,1030.6317,-147458.77,-1023.9931,2518.0327,3542.026,-1085.5576,45063.324,46329.86,39336.426,-32955.594,5355879.5,-149486.4,-10.30777,10.30777,1.5980463,149496.72,-149496.72,149496.72,1.0,173419.78,1113.2751,-99454.875,-1023.9945,2747.9326,3771.9272,-2011.7769,40835.305,43015.11,0.004875341129302978,1398.7206978797913,270000
-155965.84,-10.375763,10.375763,1.6207107,155976.22,-155976.22,155976.22,1.0,185071.1,1393.6425,-125541.82,-1023.9983,2488.4092,3512.4075,-4053.0889,79147.375,83526.75,37967.133,-50750.27,6843975.0,-153604.77,-10.48044,10.48044,1.6556032,153615.25,-153615.25,153615.25,1.0,229871.31,881.6118,-125749.38,-1023.9952,2776.151,3800.1462,-2088.6992,72193.39,74573.39,0.004867219972610474,1423.0568072795868,275000
-154851.02,-10.630222,10.630222,1.7055305,154861.64,-154861.64,154861.64,1.0,218471.94,1109.0579,-113131.62,-1023.99695,2554.602,3578.599,-5157.1895,69338.836,74788.17,32935.914,-45893.91,6640777.5,-156954.7,-10.863823,10.863823,1.7833977,156965.56,-156965.56,156965.56,1.0,209664.98,925.97595,-120283.35,-1023.9992,2840.4736,3864.4727,-1914.0098,72982.36,75190.086,0.004886228036880493,1447.487957239151,280000
-156904.52,-10.802551,10.802551,1.7629735,156915.31,-156915.31,156915.31,1.0,219194.8,1088.8108,-126508.65,-1023.9925,2679.7473,3703.7397,-2285.9478,71672.23,74248.195,43723.316,-45908.945,6577425.5,-155302.25,-10.690243,10.690243,1.7255372,155312.94,-155312.94,155312.94,1.0,227034.64,995.76105,-160095.55,-1023.9932,2858.2842,3882.2773,-7658.398,65221.438,73165.66,0.004888317489624023,1471.9295542240143,285000
-159652.6,-10.66407,10.66407,1.7168128,159663.27,-159663.27,159663.27,1.0,202629.73,998.33374,-133666.06,-1023.9943,2799.98,3823.9744,-3069.5654,74585.97,77960.08,67497.52,-75180.19,7412495.0,-160184.72,-10.551969,10.551969,1.679446,160195.27,-160195.27,160195.27,1.0,233865.02,1088.8276,-114032.0,-1023.99347,2843.8843,3867.878,-3808.8376,66721.555,70806.984,0.004888898611068725,1496.374056816101,290000
-164547.42,-10.351985,10.351985,1.6127847,164557.78,-164557.78,164557.78,1.0,192399.06,1131.093,-113346.42,-1023.99304,2871.0679,3895.061,-3542.394,53207.395,56972.33,27712.053,-25456.531,4577279.0,-163009.3,-10.441942,10.441942,1.6427702,163019.73,-163019.73,163019.73,1.0,224073.5,1221.3038,-113856.65,-1023.9946,3065.4565,4089.4514,-2264.937,53318.195,55801.11,0.004798327589035034,1520.365703344345,295000
-163796.84,-10.407439,10.407439,1.6312697,163807.25,-163807.25,163807.25,1.0,189165.5,1222.9618,-133659.27,-1023.9946,2828.238,3852.233,-2537.2075,59975.688,62758.035,32893.277,-38417.273,6275792.5,-161811.98,-10.607563,10.607563,1.6979773,161822.6,-161822.6,161822.6,1.0,188336.11,1312.6616,-137524.28,-1023.99585,2984.462,4008.458,-4482.7183,51764.375,56467.68,0.00471534857749939,1543.9424555301666,300000
-170278.08,-10.334223,10.334223,1.6068639,170288.4,-170288.4,170288.4,1.0,209822.25,1143.6135,-131181.61,-1023.995,2846.1802,3870.1753,-3667.5889,67661.945,71609.26,38067.242,-50301.234,6838060.5,-164975.2,-10.554028,10.554028,1.6801326,164985.75,-164985.75,164985.75,1.0,177673.06,1056.4443,-107469.63,-1023.9968,3054.5503,4078.5469,-2626.3262,72909.08,75831.61,0.00481250901222229,1568.0050101280212,305000
-172138.27,-10.631595,10.631595,1.7059879,172148.89,-172148.89,172148.89,1.0,190542.53,1023.359,-132887.56,-1023.9957,3021.1887,4045.1846,-3396.27,53709.492,57329.72,38882.19,-28861.828,5526766.0,-170969.38,-10.591553,10.591553,1.6926408,170979.97,-170979.97,170979.97,1.0,204895.23,1022.9918,-115422.8,-1023.999,3248.2913,4272.29,-2498.608,52055.375,54767.92,0.00475716814994812,1591.7908596992493,310000
-170439.67,-10.383286,10.383286,1.6232184,170450.06,-170450.06,170450.06,1.0,259247.14,1643.9608,-115748.37,-1023.9958,3092.3936,4116.3896,-2139.0852,87282.484,89772.234,64729.645,-42479.63,7638775.0,-172305.25,-10.401958,10.401958,1.6294427,172315.66,-172315.66,172315.66,1.0,209461.52,1155.7808,-111754.52,-1023.9946,3196.4316,4220.427,-2044.5093,71388.13,73720.62,0.004748763847351074,1615.534690618515,315000
-173917.1,-10.384105,10.384105,1.6234913,173927.48,-173927.48,173927.48,1.0,213497.97,1149.9717,-126845.21,-1023.99524,3111.6738,4135.669,-2006.6755,72477.02,74775.8,37719.953,-27145.684,5587774.0,-174325.33,-10.547249,10.547249,1.6778725,174335.88,-174335.88,174335.88,1.0,222603.83,1262.9546,-130183.15,-1023.9961,3216.561,4240.5566,-1524.094,73011.0,74827.375,0.004785817575454712,1639.4637880325317,320000
-167024.33,-10.422584,10.422584,1.6363176,167034.75,-167034.75,167034.75,1.0,216345.58,1401.0591,-137723.12,-1023.99646,3229.8176,4253.814,-4574.412,88939.13,93880.266,66077.63,-49095.38,8276847.0,-175749.67,-10.6711645,10.6711645,1.7191776,175760.34,-175760.34,175760.34,1.0,246619.3,1509.0012,-123099.77,-1023.99915,3451.1782,4475.1772,-3989.419,87183.58,91530.55,0.004867766141891479,1663.8026282787323,325000
-176802.55,-10.992395,10.992395,1.8262548,176813.55,-176813.55,176813.55,1.0,216290.5,1007.0587,-175581.12,-1023.996,3208.691,4232.687,-3507.077,74167.16,77978.83,47351.887,-55054.047,7105407.0,-172429.55,-11.445047,11.445047,1.9771389,172440.98,-172440.98,172440.98,1.0,227479.89,1387.6768,-150985.28,-1023.99347,3414.1199,4438.1133,-4755.584,79949.36,85037.125,0.0048657643795013425,1688.1314597129822,330000
-178841.78,-10.745695,10.745695,1.7440214,178852.53,-178852.53,178852.53,1.0,267843.8,1321.5651,-164379.23,-1023.9946,3203.7754,4227.7705,-2663.8262,91504.44,94537.53,41804.984,-42545.24,7367535.5,-178052.66,-11.026426,11.026426,1.8375982,178063.69,-178063.69,178063.69,1.0,189231.69,1387.9939,-124898.51,-1023.99976,3471.929,4495.9287,-5473.1367,80780.31,86591.7,0.004857375144958496,1712.4183452129364,335000
-189407.7,-11.271671,11.271671,1.9193467,189418.97,-189418.97,189418.97,1.0,217551.52,1318.4386,-133736.98,-1023.99664,3300.8667,4324.8633,-5047.005,67974.14,73307.5,74629.02,-61366.89,7149950.0,-182838.83,-11.428825,11.428825,1.9717315,182850.25,-182850.25,182850.25,1.0,209833.55,1362.022,-127282.46,-1023.9954,3496.578,4520.573,-3188.6572,75094.88,78590.52,0.0047370867252349855,1736.1037888526917,340000
-179998.39,-10.540524,10.540524,1.675631,180008.94,-180008.94,180008.94,1.0,273903.78,1504.7449,-199128.81,-1023.99646,3405.9392,4429.9355,-7288.4106,74714.28,82324.27,39689.688,-40777.47,6595819.0,-179046.7,-10.538832,10.538832,1.675067,179057.23,-179057.23,179057.23,1.0,208722.05,1692.6833,-146338.1,-1023.9965,3531.88,4555.877,-1567.7212,83944.414,85847.51,0.00471575665473938,1759.682580947876,345000
-183085.12,-10.412846,10.412846,1.6330718,183095.53,-183095.53,183095.53,1.0,225106.25,1488.564,-144740.17,-1023.9906,3477.1025,4501.093,-2958.8574,68517.484,71756.64,51611.25,-29445.592,5448589.5,-188021.86,-10.415493,10.415493,1.633954,188032.28,-188032.28,188032.28,1.0,243861.4,1526.7988,-149331.5,-1023.9946,3656.3982,4680.3926,-2175.0464,86692.34,89215.89,0.004751458120346069,1783.4398815631866,350000
-192807.72,-10.780188,10.780188,1.7555189,192818.5,-192818.5,192818.5,1.0,203815.2,1390.85,-138556.86,-1023.9956,3342.5522,4366.548,-1628.0691,74340.01,76266.016,44681.07,-37584.79,5978650.0,-188569.47,-10.816708,10.816708,1.7676921,188580.28,-188580.28,188580.28,1.0,227090.4,1292.0756,-178722.77,-1023.99554,3714.7456,4738.741,-3708.0488,59419.94,63375.53,0.004736288928985596,1807.121335029602,355000
-188583.08,-10.668801,10.668801,1.7183902,188593.75,-188593.75,188593.75,1.0,209700.42,1542.4998,-134725.52,-1023.99646,3409.5566,4433.5527,-5270.2734,79210.42,84812.01,80664.766,-55795.97,7584198.0,-190963.67,-10.905678,10.905678,1.797349,190974.58,-190974.58,190974.58,1.0,184125.64,1656.697,-119260.016,-1023.9952,3725.2349,4749.23,560.7263,74130.84,73858.64,0.004752455520629883,1830.8836224079132,360000
-192261.33,-10.601288,10.601288,1.6958857,192271.92,-192271.92,192271.92,1.0,243161.05,1763.0194,-156603.84,-1023.9935,3504.397,4528.3906,-2914.4812,83441.45,86694.586,41110.535,-60175.254,7806005.0,-197718.55,-10.81385,10.81385,1.7667401,197729.36,-197729.36,197729.36,1.0,250009.81,1747.3418,-219900.31,-1023.99414,3836.1924,4860.1865,-4371.6113,71599.8,76269.33,0.004759112596511841,1854.6791944503784,365000
-191633.38,-10.69689,10.69689,1.7277532,191644.08,-191644.08,191644.08,1.0,253282.16,1730.9656,-176952.28,-1023.9962,3598.478,4622.4746,-2156.559,89533.51,92049.63,48326.387,-52053.55,8176096.0,-195748.81,-10.500387,10.500387,1.662252,195759.31,-195759.31,195759.31,1.0,182990.52,1426.3943,-150111.78,-1023.99646,3744.2769,4768.2734,-6156.5415,81869.15,88370.87,0.004764566040039063,1878.5020334720612,370000
-196981.45,-10.397074,10.397074,1.6278142,196991.84,-196991.84,196991.84,1.0,220764.36,1496.8519,-161029.03,-1023.99634,3634.0361,4658.032,-2579.849,88502.04,91439.07,47158.375,-43625.44,7340620.5,-196862.98,-10.830344,10.830344,1.7722378,196873.81,-196873.81,196873.81,1.0,215630.3,1444.493,-127538.09,-1023.99585,3965.445,4989.441,-3623.2695,70803.92,74719.055,0.004797319316864014,1902.4886395931244,375000
-193361.3,-10.467963,10.467963,1.6514442,193371.77,-193371.77,193371.77,1.0,258511.47,1643.1265,-163696.72,-1023.99255,3635.9824,4659.975,-2589.9993,100451.2,103445.3,68384.34,-47342.605,9385524.0,-189486.83,-10.610758,10.610758,1.6990423,189497.44,-189497.44,189497.44,1.0,234734.4,1564.9602,-142649.38,-1023.99695,4034.2437,5058.2407,-3508.41,90932.94,94811.7,0.004880005407333374,1926.8886754512787,380000
-202177.42,-10.280724,10.280724,1.589031,202187.7,-202187.7,202187.7,1.0,243302.45,1670.3352,-160865.83,-1023.9944,3756.8457,4780.84,-4481.468,120436.6,125407.95,86965.016,-122231.35,12103404.0,-192179.22,-10.188114,10.188114,1.5581611,192189.4,-192189.4,192189.4,1.0,228435.61,1751.0499,-186298.11,-1023.9955,3918.0552,4942.051,-6125.461,121034.086,127658.234,0.004851705598831177,1951.1472129821777,385000
-202528.06,-10.565151,10.565151,1.68384,202538.62,-202538.62,202538.62,1.0,258671.5,2320.1685,-137474.97,-1023.996,3731.2688,4755.265,-4337.204,79651.83,84318.4,55805.92,-39409.914,6878742.5,-196289.61,-10.702291,10.702291,1.7295531,196300.31,-196300.31,196300.31,1.0,202282.9,1616.0459,-199358.7,-1023.99866,4053.4436,5077.4424,-5870.6963,77882.54,84081.7,0.004810689401626587,1975.2006695270538,390000
-196456.33,-10.205427,10.205427,1.5639322,196466.53,-196466.53,196466.53,1.0,228685.84,2067.644,-143989.52,-1023.9927,3853.4624,4877.455,-5036.337,84500.234,89887.7,64234.977,-37821.734,7851574.0,-197967.61,-10.394649,10.394649,1.6270059,197978.0,-197978.0,197978.0,1.0,198166.58,1737.551,-153967.67,-1023.99536,4125.516,5149.511,-5504.9155,87440.82,93310.234,0.00485299334526062,1999.4656457901,395000
-211542.17,-10.448881,10.448881,1.6450834,211552.62,-211552.62,211552.62,1.0,241242.64,1739.1968,-173478.27,-1023.99426,3919.15,4943.144,-3562.1724,64372.37,68200.96,47628.38,-38679.49,6095648.0,-205117.95,-10.292562,10.292562,1.5929768,205128.25,-205128.25,205128.25,1.0,191343.34,1764.823,-132717.55,-1023.99396,4167.4453,5191.44,-3082.6592,81737.21,85152.516,0.004920171499252319,2024.0665125846863,400000
-212560.19,-10.536496,10.536496,1.6742885,212570.72,-212570.72,212570.72,1.0,256865.14,1902.1554,-155521.73,-1023.9937,3815.624,4839.6177,-4520.497,86220.34,91096.73,50545.75,-65805.36,7931200.0,-211487.0,-10.754916,10.754916,1.7470951,211497.75,-211497.75,211497.75,1.0,254787.05,1992.9465,-161114.66,-1023.9956,4090.4604,5114.456,-5282.4297,91171.5,96832.16,0.004887568664550781,2048.5043654441833,405000
